doc_id,event_type,event_date_iso,date_is_approximate,country,admin1_or_state,city_or_local,geo_precision,actors,outcome_summary,extraction_confidence,raw_text,local_model_raw_output,parse_ok,parse_error,evidence_json,uncertainty_flags_json,flag_parse_failed,flag_low_confidence,flag_missing_date,flag_missing_country,flag_geo_unknown,needs_human_review,human_is_correct,human_correct_event_type,human_correct_date_iso,human_correct_location,failure_mode,reviewer_notes
doc_001,other,2026-03-14,False,Chile,Santiago,unspecified,city_or_local,"['thousands of demonstrators', 'police officers']",Minor clashes occurred between protesters and police. Twelve individuals were arrested for their involvement in the demonstration.,0.35,Breaking: Thousands rallied in Santiago on 2026-03-14 demanding pension reform. Police reported minor clashes; 12 were arrested.,"event_type: protest|election|policy_change|violence|disaster|other
event_date_iso: 2026-03-14
date_is_approximate: false
country: Chile
admin1_or_state: Santiago
city_or_local: unspecified
geo_precision: city_or_local
actors: thousands of demonstrators, police officers
outcome_summary: Minor clashes occurred between protesters and police. Twelve individuals were arrested for their involvement in the demonstration.",True,,[],"[""invalid_event_type_from_model""]",False,True,False,False,False,True,,,,,,
doc_002,policy_change,2023-03-02,False,United States,Washington,Olympia,city_or_local,"['environmental groups', 'lawmakers']",The Clean Air Act amendment was approved by lawmakers.,0.35,"On March 2nd, lawmakers passed the 'Clean Air Act' amendment in the national assembly. Environmental groups praised the vote.","event_type: policy_change
event_date_iso: 2023-03-02
date_is_approximate: false
country: United States
admin1_or_state: Washington
city_or_local: Olympia
geo_precision: city_or_local
actors: environmental groups, lawmakers
outcome_summary: The Clean Air Act amendment was approved by lawmakers.",True,,[],[],False,True,False,False,False,True,,,,,,
doc_003,other,,True,United States,,,unknown,"['United States federal government', 'local election authorities']",,0.35,Election officials said voting will take place next Sunday. Turnout is expected to be high in the capital.,"Event Type: election
Event Date ISO: 2023-04-15
Date Is Approximate: false
Country: United States
Admin1 or State: Washington
City or Local: Seattle
Geo Precision: city_or_local
Actors: United States federal government, local election authorities
Outcome Summary: High turnout expected for upcoming election in Seattle's capital.",True,,[],"[""date_is_approximate_missing_or_invalid""]",False,True,True,False,True,True,,,,,,
doc_004,disaster,2023-05-18,False,Japan,Unknown,Unknown,country_only,['Unknown'],Earthquake damage and power outage occurred.,0.35,"A 6.2 magnitude earthquake struck near the coastal city overnight, damaging dozens of homes and cutting power to 40,000 residents.","event_type: disaster
event_date_iso: 2023-05-18
date_is_approximate: false
country: Japan
admin1_or_state: Unknown
city_or_local: Unknown
geo_precision: country_only
actors: Unknown
outcome_summary: Earthquake damage and power outage occurred.",True,,[],[],False,True,False,False,True,True,,,,,,
doc_005,other,,True,United States,,,unknown,['unidentified individuals'],,0.35,"Witnesses described gunfire outside a nightclub late Friday; at least two people were injured, but details remain unclear.","Event Type: violence
Event Date ISO: 2023-04-26
Date Is Approximate: true
Country: United States
Admin1 or State: Los Angeles County
City or Local: Hollywood
Geo Precision: city_or_local
Actors: unidentified individuals
Outcome Summary: Gunfire was reported near a nightclub, resulting in injuries. The exact number of casualties and their identities are still under investigation.",True,,[],"[""date_is_approximate_missing_or_invalid""]",False,True,True,False,True,True,,,,,,
doc_006,other,,True,United States,,,unknown,['Governor of California'],,0.35,The governor announced a new curfew order effective immediately. Critics called it an overreach.,"Event Type: policy_change
Event Date ISO: 2023-04-05
Date Is Approximate: false
Country: United States
Admin1 or State: California
City or Local: Los Angeles
Geo Precision: city_or_local
Actors: Governor of California
Outcome Summary: The new curfew order was met with criticism and opposition.",True,,[],"[""date_is_approximate_missing_or_invalid""]",False,True,True,False,True,True,,,,,,
doc_007,protest,2023-04-01,False,Afghanistan,Northern Province,unspecified,admin1_or_state,['demonstrators'],Demonstrators staged protests against rising fuel prices.,0.35,Early April saw renewed demonstrations in the northern province after fuel prices rose again.,"event_type: protest
event_date_iso: 2023-04-01
date_is_approximate: false
country: Afghanistan
admin1_or_state: Northern Province
city_or_local: unspecified
geo_precision: admin1_or_state
actors: demonstrators
outcome_summary: Demonstrators staged protests against rising fuel prices.",True,,[],[],False,True,False,False,False,True,,,,,,
doc_008,disaster,2023-04-15,False,United States,New York,Brooklyn,city_or_local,"['floodwaters', 'emergency shelters', 'local schools']",Neighborhoods were flooded and residents were relocated to temporary housing.,0.35,"Floodwaters inundated low-lying neighborhoods; emergency shelters opened at local schools, officials said.","event_type: disaster
event_date_iso: 2023-04-15
date_is_approximate: false
country: United States
admin1_or_state: New York
city_or_local: Brooklyn
geo_precision: city_or_local
actors: floodwaters, emergency shelters, local schools
outcome_summary: Neighborhoods were flooded and residents were relocated to temporary housing.",True,,[],[],False,True,False,False,False,True,,,,,,
doc_009,other,2023-04-15,False,Belgium,Brussels,unspecified,city_or_local,"['opposition leaders', 'international observers']",The meeting aimed at discussing election monitoring.,0.35,Opposition leaders met with international observers in Brussels to discuss election monitoring.,"event_type: election|policy_change|violence|disaster|other
event_date_iso: 2023-04-15
date_is_approximate: false
country: Belgium
admin1_or_state: Brussels
city_or_local: unspecified
geo_precision: city_or_local
actors: opposition leaders, international observers
outcome_summary: The meeting aimed at discussing election monitoring.",True,,[],"[""invalid_event_type_from_model""]",False,True,False,False,False,True,,,,,,
doc_010,other,,True,United States,,,unknown,"['police', 'suspect']",,0.35,Police said the suspect was arrested after a stabbing in downtown; the mayor urged calm.,"Event Type: violence
Event Date ISO: 2023-04-05
Date Is Approximate: false
Country: United States
Admin1 or State: New York City
City or Local: Downtown
Geo Precision: city_or_local
Actors: police, suspect
Outcome Summary: The suspect was arrested.",True,,[],"[""date_is_approximate_missing_or_invalid""]",False,True,True,False,True,True,,,,,,
